_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31912,548,KEYSTONE INTERNATIONAL SCHOOLS,,Private,former Toronto,,"-79.3760593472, 43.6505909715"
31913,549,KHAIRUL UMMAH SCHOOL,,Private,Scarborough,,"-79.28411095, 43.7271075877"
31914,550,KIMBERLEY JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Kimberly Public School Junior,"-79.299127884, 43.6826199723"
31915,551,KING EDWARD JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,King Edward Public School,"-79.407408935, 43.6582441161"
31916,552,KING GEORGE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,York,King George Public School,"-79.4868867513, 43.6631626964"
31917,553,KING'S ACADEMY,,Private,North York,,"-79.4221165959, 43.7780697274"
31918,554,KINGSLAKE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Kingslake Public School,"-79.3455302478, 43.7847819083"
31919,555,KINGSLEY PRIMARY,,Private,Etobicoke,St Matthews Anglican Church,"-79.5489441029, 43.6393811176"
31920,556,KINGSVIEW VILLAGE JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Kingsview Village Public School,"-79.5507891279, 43.6978666585"
31921,557,KINGSWAY COLLEGE,,Private,Etobicoke,St Georges Church,"-79.5212307439, 43.6569348409"
31922,558,KIPLING COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,Kipling Collegiate Institute,"-79.5623537179, 43.685288123"
31923,559,KISOMO,,Private,Etobicoke,,"-79.5681302842, 43.7074421543"
31924,560,KNB LEARNING,,Private,Etobicoke,,"-79.552304387, 43.7179013805"
31925,561,KNOB HILL PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Knob Hill Junior Public School,"-79.2497850292, 43.7452922847"
31926,562,LA CITADELLE INTERNATIONAL ACADEMY OF ARTS & SCIENCES,,Private,North York,,"-79.3547074371, 43.747459284"
31927,563,LAKESHORE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,Lakeshore Collegiate Institute,"-79.5191606371, 43.6015634242"
31928,564,LAKESHORE LINC CENTRE,Toronto Catholic District School Board,English Separate,Etobicoke,,"-79.4853380485, 43.6195665331"
31929,565,LAMBERTON  PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Lamberton Public School,"-79.5028244891, 43.7536543018"
31930,566,LAMBTON KINGSWAY JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Lambton-Kingsway Junior Middle School,"-79.5093148073, 43.6586572209"
31931,567,LAMBTON PARK COMMUNITY SCHOOL,Toronto District School Board,English Public,York,Lambton Park Community School,"-79.4983074871, 43.6675759817"
31932,568,L'AMOREAUX COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Lamoreaux Collegiate Institute,"-79.3180737472, 43.8029177681"
31933,569,LANOR JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Lanor Junior Middle School,"-79.544792185, 43.6095014861"
31934,570,LAUREATE INTERNATIONAL COLLEGE,,Private,North York,,"-79.3514531391, 43.7622199228"
31935,571,LAWRENCE HEIGHTS MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Lawrence Heights Middle School,"-79.4510772509, 43.7208322544"
31936,572,LAWRENCE PARK COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Lawrence Park Collegiate Institute,"-79.4104390775, 43.7222227052"
31937,573,LEASIDE HIGH SCHOOL,Toronto District School Board,English Public,East York,Leaside High School,"-79.3725387474, 43.7110428289"
31938,574,LEDBURY PARK ELEMENTARY & MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Ledbury Elementary Middle School,"-79.4271823065, 43.7274253088"
31939,575,LEO BAECK DAY SCHOOL - SOUTH CAMPUS,,Private,York,Arlington Middle School,"-79.4329480384, 43.692286738"
31940,576,LEONARDO DA VINCI ACADEMY OF ARTS AND SCIENCES,,Private,Etobicoke,Leonardo Da Vinci Academy,"-79.5194735179, 43.6801476372"
31941,577,LESCON PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Lescon Public School - Building Grounds,"-79.3577389782, 43.7808296263"
31942,578,LESLIEVILLE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Leslieville Public School Junior,"-79.3324077239, 43.6673207679"
31943,579,LESTER B PEARSON COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Lester B Pearson Collegiate Institute,"-79.2258580493, 43.8033727841"
31944,580,LESTER B PEARSON ELEMENTARY SCHOOL,Toronto District School Board,English Public,North York,Lester B. Pearson Elementary School,"-79.3874623163, 43.7923194425"
31945,581,LIBERTY PREPARATORY SCHOOL - CORKTOWN,,Private,former Toronto,,"-79.3647409261, 43.655020111"
31946,582,LILLIAN PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Lillian Public School,"-79.4103985022, 43.7978213697"
31947,583,LITTLE OWL PRESCHOOL ELEMENTARY,,Private,North York,,"-79.4160453355, 43.7601252178"
31948,584,LOLART SECONDARY SCHOOL,,Private,North York,,"-79.4153540908, 43.7603227431"
31949,585,LORD DUFFERIN JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Lord Dufferin Public School,"-79.3669550617, 43.6608245373"
31950,586,LORD LANSDOWNE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,,"-79.401909851, 43.6589530395"
31951,587,LORD ROBERTS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Lord Roberts Junior Public School,"-79.2636373333, 43.7413177791"
31952,588,LORETTO ABBEY CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Loretto Abbey Catholic Secondary School,"-79.4110818264, 43.7412253212"
31953,589,LORETTO COLLEGE SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Loretto College Catholic School,"-79.4432469522, 43.6757367137"
31954,590,LOWELL INTERNATIONAL ACADEMY SECONDARY SCHOOL,,Private,Scarborough,,"-79.3356854772, 43.8036486929"
31955,591,LUCY MAUD MONTGOMERY PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Lucy Maud Montgomery Public School,"-79.209365718, 43.7969167927"
31956,592,LUCY MCCORMICK SENIOR SCHOOL,Toronto District School Board,English Public,former Toronto,Lucy McCormick Senior Public School,"-79.4601799672, 43.6646326068"
31957,593,LYCEE FRANCAIS DE TORONTO,,Private,York,D. B. Hood Community School,"-79.4488750654, 43.6935935697"
31958,594,LYNNGATE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Lynngate Junior Public School,"-79.3006602548, 43.7766766424"
31959,595,LYNNWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Lynnwood Heights Junior Public School,"-79.2913478665, 43.7965807576"
31960,596,MAC AL-FURQAN SCHOOL,,Private,Scarborough,,"-79.2558617025, 43.7733999345"
31961,597,MACKENZIE ACADEMY,,Private,North York,,"-79.3514531391, 43.7622199228"
31962,598,MACKLIN PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Macklin Public School,"-79.2674700421, 43.8217884563"
31963,599,MADINAH ISLAMIC SCHOOL,,Private,former Toronto,Jamiatul Muslemin Of Toronto,"-79.3360711684, 43.6804086382"
31964,600,MADINATUL ULOOM ACADEMY INC,,Private,Scarborough,,"-79.2474745696, 43.7786535641"
31965,601,MADINATUL-ULOOM ISLAMIC BOYS AND PRIMARY,,Private,Scarborough,,"-79.2501100015, 43.777743498"
31966,602,MADINATUL-ULOOM ISLAMIC GIRLS,,Private,Scarborough,,"-79.247910858, 43.7782059907"
31967,603,MADONNA CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Madonna Catholic Secondary School,"-79.4774829362, 43.7294163955"
31968,604,MADRESATUL BANAAT ALMUSLIMAAT,,Private,Etobicoke,,"-79.5786367526, 43.7052672727"
31969,605,MAGNIFICENT MINDS SCHOOL,,Private,North York,Adath Israel Congregation,"-79.4312221028, 43.7385452577"
31970,606,MALVERN COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Malvern Collegiate Institute,"-79.2929363196, 43.6829141497"
31971,607,MALVERN JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Malvern Junior Public School,"-79.2332519441, 43.797839461"
31972,608,MALVERN MONTESSORI SCHOOL,,Private,Scarborough,,"-79.2177894185, 43.8072429488"
31973,609,MANHATTAN PARK JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Manhattan Park,"-79.2953011187, 43.7533540032"
31974,610,MANOR MONTESSORI - MOUNT PLEASANT,,Private,former Toronto,,"-79.3911624303, 43.7116041441"
31975,611,MAPLE LEAF COLLEGIATE,,Private,Scarborough,,"-79.2879056184, 43.7836906701"
