_id,DATE,HOUR,geometry,ROAD_CLASS,District,WardNum,ACCLOC,LIGHT,RDSFCOND,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDCOND,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
15171,2019-02-04T05:00:00,8,"-79.480449, 43.650199",Major Arterial,Toronto and East York,4,At Intersection,Daylight,Wet,Pedestrian Collisions,15 to 19,None,,,,,,Yes,,
15172,2019-02-04T05:00:00,8,"-79.480449, 43.650199",Major Arterial,Toronto and East York,4,At Intersection,Daylight,Wet,Pedestrian Collisions,60 to 64,Major,,,,Normal,,Yes,,
15196,2019-02-20T05:00:00,8,"-79.338024, 43.6687",Minor Arterial,Toronto and East York,14,Non Intersection,Daylight,Wet,Pedestrian Collisions,50 to 54,None,,Failed to Yield Right of Way,Normal,,,Yes,,
15197,2019-02-20T05:00:00,8,"-79.338024, 43.6687",Minor Arterial,Toronto and East York,14,Non Intersection,Daylight,Wet,Pedestrian Collisions,70 to 74,Major,,,,Normal,,Yes,,
15203,2019-02-26T05:00:00,8,"-79.345852, 43.746345",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,60 to 64,None,,Improper Turn,Normal,,,,,
15204,2019-02-26T05:00:00,8,"-79.345852, 43.746345",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,20 to 24,None,,Driving Properly,Normal,,,,,
15205,2019-02-26T05:00:00,8,"-79.345852, 43.746345",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,25 to 29,Major,,,,,,,,
15395,2019-04-01T04:00:00,8,"-79.352207, 43.658324",Major Arterial,Toronto and East York,14,Intersection Related,Daylight,Dry,Pedestrian Collisions,30 to 34,None,,Following too Close,Normal,,,Yes,,
15396,2019-04-01T04:00:00,8,"-79.352207, 43.658324",Major Arterial,Toronto and East York,14,Intersection Related,Daylight,Dry,Pedestrian Collisions,40 to 44,Minimal,,Driving Properly,Normal,,,Yes,,
15397,2019-04-01T04:00:00,8,"-79.352207, 43.658324",Major Arterial,Toronto and East York,14,Intersection Related,Daylight,Dry,Pedestrian Collisions,30 to 34,Major,,,,Normal,,Yes,,
15410,2019-04-09T04:00:00,8,"-79.498829, 43.684474",Major Arterial,Etobicoke York,5,At Intersection,Daylight,Dry,Pedestrian Collisions,20 to 24,None,,Driving Properly,Normal,,,,,
15411,2019-04-09T04:00:00,8,"-79.498829, 43.684474",Major Arterial,Etobicoke York,5,At Intersection,Daylight,Dry,Pedestrian Collisions,10 to 14,Major,,,,Normal,,,,
15428,2019-04-17T04:00:00,8,"-79.294933, 43.781795",Major Arterial,Scarborough,22,Non Intersection,Daylight,Dry,Pedestrian Collisions,60 to 64,None,,Driving Properly,Normal,,,,,
15429,2019-04-17T04:00:00,8,"-79.294933, 43.781795",Major Arterial,Scarborough,22,Non Intersection,Daylight,Dry,Pedestrian Collisions,30 to 34,None,,,,,,,,
